symbol,value
‹,0
“,1
„,2
†,3
Ž,4
•,5
‘,6
•,7
š,8
‘,9
”,10
”,11
“,12
›,13
‹,14
š,15
€,16
„,17
Œ,18
›,19
‚,20
…,21
œ,22
š,23
Š,24
‡,25
‹,26
ž,27
’,28
‚,29
ƒ,30
œ,31
€,32
€,33
–,34
‘,35
’,36
’,37
…,38
”,39
„,40
‹,41
š,42
“,43
Š,44
ˆ,45
†,46
†,47
–,48
–,49
›,50
‚,51
‚,52
–,53
™,54
ž,55
’,56
ƒ,57
˜,58
™,59
–,60
•,61
”,62
—,63
‰,64
†,65
”,66
ƒ,67
Œ,68
™,69
‡,70
“,71
›,72
’,73
™,74
ˆ,75
›,76
‘,77
”,78
Ÿ,79
’,80
Ÿ,81
œ,82
‹,83
™,84
‚,85
ƒ,86
›,87
‡,88
•,89
Ÿ,90
‘,91
ˆ,92
—,93
…,94
—,95
ˆ,96
“,97
€,98
“,99
Ÿ,100
”,101
›,102
‚,103
Š,104
‰,105
Š,106
‡,107
‚,108
”,109
’,110
‚,111
˜,112
†,113
•,114
”,115
Š,116
Ž,117
ž,118
˜,119
Ž,120
“,121
“,122
˜,123
ž,124
Ÿ,125
†,126
ž,127
Œ,128
–,129
Ž,130
ƒ,131
‰,132
ˆ,133
’,134
’,135
š,136
ƒ,137
˜,138
—,139
ˆ,140
‡,141
ž,142
—,143
”,144
‚,145
ƒ,146
˜,147
‚,148
…,149
ƒ,150
ˆ,151
€,152
‡,153
Œ,154
…,155
™,156
Ž,157
ž,158
ž,159
˜,160
€,161
†,162
‹,163
”,164
…,165
‰,166
ˆ,167
˜,168
Ÿ,169
’,170
…,171
‹,172
Ž,173
„,174
•,175
ž,176
”,177
“,178
ˆ,179
ƒ,180
€,181
ˆ,182
ž,183
ž,184
‘,185
˜,186
“,187
Ž,188
–,189
‡,190
‘,191
–,192
Š,193
„,194
…,195
ˆ,196
š,197
†,198
„,199
—,200
›,201
“,202
ˆ,203
†,204
™,205
‘,206
‡,207
’,208
–,209
€,210
—,211
‰,212
—,213
’,214
ƒ,215
Ÿ,216
Œ,217
€,218
ƒ,219
ž,220
–,221
Œ,222
—,223
Ž,224
‹,225
™,226
™,227
œ,228
”,229
”,230
Œ,231
Š,232
‰,233
›,234
Ž,235
ˆ,236
…,237
•,238
‚,239
…,240
†,241
•,242
•,243
’,244
Ž,245
˜,246
Ž,247
”,248
–,249
’,250
š,251
—,252
€,253
‘,254
‚,255
›,256
‰,257
…,258
ž,259
“,260
–,261
”,262
…,263
ž,264
†,265
œ,266
ˆ,267
œ,268
‡,269
Ÿ,270
˜,271
‘,272
Ž,273
‚,274
š,275
ˆ,276
•,277
…,278
Ž,279
Ž,280
œ,281
š,282
›,283
‰,284
‚,285
ž,286
—,287
ž,288
–,289
€,290
‹,291
ž,292
Ÿ,293
‚,294
ˆ,295
Ž,296
ž,297
˜,298
†,299
ˆ,300
•,301
…,302
œ,303
—,304
ˆ,305
”,306
ˆ,307
Ž,308
†,309
Ž,310
ž,311
‚,312
Š,313
Ÿ,314
š,315
…,316
š,317
’,318
Š,319
Œ,320
Ž,321
‚,322
œ,323
Ÿ,324
†,325
š,326
–,327
‘,328
œ,329
‚,330
Œ,331
ž,332
ž,333
œ,334
„,335
›,336
‚,337
Œ,338
ƒ,339
š,340
–,341
—,342
—,343
ƒ,344
ž,345
†,346
ƒ,347
‰,348
ž,349
Ž,350
‚,351
‚,352
š,353
„,354
•,355
ˆ,356
†,357
ƒ,358
”,359
ž,360
‰,361
ˆ,362
€,363
†,364
Œ,365
Ÿ,366
œ,367
’,368
Š,369
’,370
‹,371
˜,372
ƒ,373
Ž,374
ƒ,375
€,376
›,377
—,378
™,379
†,380
’,381
•,382
ˆ,383
˜,384
Ÿ,385
ˆ,386
•,387
„,388
“,389
‹,390
‡,391
‹,392
ˆ,393
”,394
„,395
œ,396
Š,397
š,398
Ÿ,399
œ,400
“,401
‘,402
Ÿ,403
‡,404
œ,405
•,406
‘,407
™,408
Œ,409
•,410
Ž,411
›,412
ƒ,413
“,414
›,415
Š,416
‰,417
‰,418
Œ,419
ƒ,420
…,421
Š,422
‡,423
†,424
Ÿ,425
š,426
‰,427
€,428
š,429
“,430
‚,431
€,432
€,433
‚,434
›,435
™,436
‡,437
•,438
œ,439
‘,440
‘,441
ž,442
‹,443
Ž,444
ž,445
—,446
…,447
‘,448
ƒ,449
“,450
›,451
–,452
•,453
œ,454
‚,455
Š,456
Š,457
‚,458
Ÿ,459
Ÿ,460
—,461
™,462
‚,463
›,464
–,465
‘,466
™,467
“,468
…,469
ƒ,470
—,471
€,472
‘,473
Ÿ,474
›,475
‹,476
Ÿ,477
„,478
ƒ,479
‹,480
œ,481
†,482
‚,483
š,484
†,485
‡,486
š,487
—,488
Š,489
’,490
†,491
†,492
‰,493
š,494
˜,495
›,496
‚,497
€,498
Š,499
